TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
1JANATAMF,3.1,3.3,3.1,3.2,3.2,31,0.22,68563
1STPRIMFMF,20.8,21.6,20.5,20.8,21.2,861,21.056,1004981
AAMRANET,24.7,25.1,23.8,24.7,23.7,963,19.29,784039
AAMRATECH,15.7,16.4,15.4,15.7,15.5,281,4.1,258942
ABB1STMF,3.2,3.3,3.2,3.3,3.3,6,0.073,22301
ABBANK,7.8,7.8,7.6,7.8,7.8,585,19.618,2549786
ACFL,19.1,19.6,19,19.1,19.3,476,12.078,628211
ACI,159.2,159.5,156.5,159.2,156.2,456,9.168,57805
ACIFORMULA,127.5,127.9,125.6,127.5,126,219,2.966,23335
ACMELAB,74.9,75.3,74.9,74.9,74.9,233,5.18,69072
ACMEPL,14.6,14.8,14.5,14.6,14.6,639,17.108,1170907
ACTIVEFINE,9.5,9.8,8.9,9.5,9,918,7.219,760959
ADNTEL,93.7,95.8,92.6,93.7,94.8,1544,40.607,430600
ADVENT,16.1,16.4,16.1,16.2,16.3,268,5.163,317867
AFCAGRO,10.5,10.7,9.9,10.5,9.9,272,3.859,368118
AFTABAUTO,34.9,35.1,34.7,34.9,34.7,288,6.004,171887
AGNISYSL,28,28.7,27.8,28,28.5,1747,90.927,3233116
AGRANINS,24.5,24.9,24,24.2,24.4,68,1.148,47459
AIBL1STIMF,6.8,7,6.8,6.9,7,49,2.372,343960
AIL,80.1,82.4,79.6,80.1,80,2656,64.667,797427
AL-HAJTEX,152,152.4,148.6,152,150,468,12.659,83583
ALARABANK,20.8,21.6,20.5,20.7,20.4,94,4.246,200408
ALIF,7.5,7.7,7.5,7.5,7.5,173,2.953,389418
ALLTEX,13.5,13.6,13,13.5,13,210,2.331,173955
AMANFEED,27.4,27.7,27.3,27.4,27.2,239,7.135,259836
AMBEEPHA,726.3,740,719,726.3,721.1,58,1.237,1709
AMCL(PRAN),202.3,204,202,202.2,202.2,29,0.452,2234
ANLIMAYARN,23.9,24.7,23.3,23.9,23.7,139,2.632,109520
ANWARGALV,68.9,69,66.4,68.9,66.5,896,13.037,191029
AOL,16.6,16.8,16.4,16.6,16.4,242,4.035,242286
